member;section;force;dcr_max;axial tension;tension (dcr);axial compression;compression (dcr);moment yy;moment zz;biaxial bending (dcr);shear y;shear z;shear y (dcr);shear z (dcr);bending and tension (dcr);bending and compression (dcr);compression perpendicular;compression perpendicular (dcr)
Column 1;3 x 3;10//104//12/(C);0.10838053076085549;0;0.0;182.11;0.025286905780069837;108.853;2045.707;0.10774110315692537;58.47;13.29;0.01044586578251229;0.0023743040234237784;0.10774110315692537;0.10838053076085549;13.29;1.0353999261430302
Column 1;3 x 3;10//104//13/(C);0.10514036596502281;0;0.0;153.48;0.021311483713827458;1904.3884;189.0807;0.10468618662693807;4.49;47.99;0.0008021538799979508;0.008573577884432441;0.10468618662693807;0.10514036596502281;47.99;3.738814330745224
Column 1;3 x 3;10//104//14/(C);0.10679124500437909;0;0.0;169.11;0.02348178922885954;98.5789;2025.9597;0.1062398505789905;58.02;12.02;0.010365471741087106;0.002147414173179369;0.1062398505789905;0.10679124500437909;12.02;0.936456517098512
Column 1;3 x 3;10//2/3//11/(C);0.03926360179280548;0;0.0;165.75;0.023015236027931336;683.2896;91.2942;0.038733900703384096;4.94;49.25;0.0008825479214231353;0.008798681200422957;0.038733900703384096;0.03926360179280548;49.25;3.836978657828762
Column 1;3 x 3;10//2/3//12/(C);0.041001730869944665;0;0.0;181.38;0.02518554154296341;223.2606;583.9896;0.040367419367132326;58.47;13.29;0.01044586578251229;0.0023743040234237784;0.040367419367132326;0.041001730869944665;13.29;1.0353999261430302
Column 1;3 x 3;10//2/3//13/(C);0.03982805166972459;0;0.0;152.81;0.021218450783880467;704.5756;82.8852;0.03937782901605663;4.49;47.99;0.0008021538799979508;0.008573577884432441;0.03937782901605663;0.03982805166972459;47.99;3.738814330745224
Column 1;3 x 3;10//2/3//14/(C);0.03942952269543933;0;0.0;168.44;0.02338875629891254;201.9746;575.5806;0.03888248877422941;58.02;12.02;0.010365471741087106;0.002147414173179369;0.03888248877422941;0.03942952269543933;12.02;0.936456517098512
Column 1;3 x 3;10//2//11/(C);0.02909648667080831;0;0.0;165.01;0.02291248323963167;548.0833;23.2773;0.028571504782601908;4.94;49.25;0.0008825479214231353;0.008798681200422957;0.028571504782601908;0.02909648667080831;49.25;3.836978657828762
Column 1;3 x 3;10//2//12/(C);0.06916421632589241;0;0.0;180.64;0.025082788754663746;554.3154;816.2193;0.06853507003418133;58.47;13.29;0.01044586578251229;0.0023743040234237784;0.06853507003418133;0.06916421632589241;13.29;1.0353999261430302
Column 1;3 x 3;10//2//13/(C);0.026228737528201696;0;0.0;152.15;0.02112680640512671;495.2371;20.3481;0.025782395579321993;4.49;47.99;0.0008021538799979508;0.008573577884432441;0.025782395579321993;0.026228737528201696;47.99;3.738814330745224
