Member/Point/Case;FX (kgf);FY (kgf);FZ (kgf);MX (kgfcm);MY (kgfcm);MZ (kgfcm)
 10/ 104/ 13 (C) (CQC);153,48;4,49;47,99;0,0;-1904,3884;189,0807
 10/ 104/ 14 (C) (CQC);169,11;58,02;12,02;0,0;-98,5789;2025,9597
 10/ 2/3/ 11 (C) (CQC);165,75;4,94;49,25;0,0;-683,2896;91,2942
 10/ 2/3/ 12 (C) (CQC);181,38;58,47;13,29;0,0;223,2606;583,9896
 10/ 2/3/ 13 (C) (CQC);152,81;4,49;47,99;0,0;-704,5756;82,8852
 10/ 2/3/ 14 (C) (CQC);168,44;58,02;12,02;0,0;201,9746;575,5806
 10/ 2/ 11 (C) (CQC);165,01;4,94;49,25;0,0;548,0833;-23,2773
 10/ 2/ 12 (C) (CQC);180,64;58,47;13,29;0,0;554,3154;816,2193
 10/ 2/ 13 (C) (CQC);152,15;4,49;47,99;0,0;495,2371;-20,3481
 10/ 2/ 14 (C) (CQC);167,78;58,02;12,02;0,0;501,4691;819,1485
